cilkp,100000,1,0.030997364
cilkp,100000,2,0.015733832
cilkp,100000,3,0.011050764
cilkp,100000,4,0.008475327
cilkp,100000,5,0.006940855
cilkp,100000,6,0.006031338
cilkp,100000,7,0.005339311
cilkp,100000,8,0.004782463
cilkp,100000,9,0.004559883
cilkp,100000,10,0.004256559
cilkp,100000,11,0.004025846
cilkp,100000,12,0.003946172
cilkp,100000,13,0.003800011
cilkp,100000,14,0.003642991
cilkp,100000,15,0.003535658
cilkp,125000,1,0.039518007
cilkp,125000,2,0.020068405
cilkp,125000,3,0.014116685
cilkp,125000,4,0.010839864
cilkp,125000,5,0.008928399
cilkp,125000,6,0.007533215
cilkp,125000,7,0.006627109
cilkp,125000,8,0.005916622
cilkp,125000,9,0.005796213
cilkp,125000,10,0.005330148
cilkp,125000,11,0.004952152
cilkp,125000,12,0.004776526
cilkp,125000,13,0.004637452
cilkp,125000,14,0.004446441
cilkp,125000,15,0.004242311
cilkp,150000,1,0.048097001
cilkp,150000,2,0.024939527
cilkp,150000,3,0.017223227
cilkp,150000,4,0.013295247
cilkp,150000,5,0.010737007
cilkp,150000,6,0.009145655
cilkp,150000,7,0.008238823
cilkp,150000,8,0.007186989
cilkp,150000,9,0.006858390
cilkp,150000,10,0.006430240
cilkp,150000,11,0.005968562
cilkp,150000,12,0.005856570
cilkp,150000,13,0.005417362
cilkp,150000,14,0.005200164
cilkp,150000,15,0.004971615
cilkp,175000,1,0.056999503
cilkp,175000,2,0.029328727
cilkp,175000,3,0.020175593
cilkp,175000,4,0.015228635
cilkp,175000,5,0.012885818
cilkp,175000,6,0.010962066
cilkp,175000,7,0.009749797
cilkp,175000,8,0.008598191
cilkp,175000,9,0.007728569
cilkp,175000,10,0.007259669
cilkp,175000,11,0.006853821
cilkp,175000,12,0.006558156
cilkp,175000,13,0.006215902
cilkp,175000,14,0.005951278
cilkp,175000,15,0.005775515
cilkp,200000,1,0.067306283
cilkp,200000,2,0.033603775
cilkp,200000,3,0.023558628
cilkp,200000,4,0.017743150
cilkp,200000,5,0.014387216
cilkp,200000,6,0.012247980
cilkp,200000,7,0.011063968
cilkp,200000,8,0.009599032
cilkp,200000,9,0.009159771
cilkp,200000,10,0.008239971
cilkp,200000,11,0.007786382
cilkp,200000,12,0.007376962
cilkp,200000,13,0.007026194
cilkp,200000,14,0.006681108
cilkp,200000,15,0.006376710
cilkp,225000,1,0.076738140
cilkp,225000,2,0.039707536
cilkp,225000,3,0.027148525
cilkp,225000,4,0.021020353
cilkp,225000,5,0.016514107
cilkp,225000,6,0.014012062
cilkp,225000,7,0.012568914
cilkp,225000,8,0.010905613
cilkp,225000,9,0.010258566
cilkp,225000,10,0.009247280
cilkp,225000,11,0.008690863
cilkp,225000,12,0.008650049
cilkp,225000,13,0.007777925
cilkp,225000,14,0.007515550
cilkp,225000,15,0.007189717
cilkp,250000,1,0.086034602
cilkp,250000,2,0.043345733
cilkp,250000,3,0.030212873
